Date,Currency,Change
May 1 1984,Canadian dollar,84.11073189
May 1 1984,Swiss franc,134.9833148
May 1 1984,Indian rupee,127.7539182
May 1 1984,Chinese renmimbi,
May 1 1984,South African rand,143.0113052
May 1 1984,Australian dollar,110.2272727
June 1 1984,US dollar,74.24778761
June 1 1984,Euro,226.1852662
June 1 1984,Japanese yen,110.4733244
June 1 1984,Pound sterling,156.7299006
June 1 1984,Canadian dollar,91.0504361
June 1 1984,Swiss franc,144.8275862
June 1 1984,Indian rupee,139.6954654
June 1 1984,Chinese renmimbi,
June 1 1984,South African rand,156.1151079
June 1 1984,Australian dollar,125.3615702
August 1 1984,US dollar,50
August 1 1984,Euro,199.8541211
August 1 1984,Japanese yen,91.75464324
August 1 1984,Pound sterling,135.2303523
August 1 1984,Canadian dollar,67.50094805
August 1 1984,Swiss franc,130.8954394
August 1 1984,Indian rupee,116.1470244
August 1 1984,Chinese renmimbi,
August 1 1984,South African rand,187.6670092
August 1 1984,Australian dollar,109.2458678
October 1 1984,US dollar,52.83185841
October 1 1984,Euro,220.6418673
October 1 1984,Japanese yen,96.65700604
October 1 1984,Pound sterling,152.1228546
October 1 1984,Canadian dollar,72.12741752
October 1 1984,Swiss franc,141.4905451
October 1 1984,Indian rupee,126.5157008
October 1 1984,Chinese renmimbi,
October 1 1984,South African rand,197.0195272
October 1 1984,Australian dollar,114.3078512
November 1 1984,US dollar,47.69911504
November 1 1984,Euro,203.5010941
November 1 1984,Japanese yen,94.84048382
November 1 1984,Pound sterling,144.1734417
November 1 1984,Canadian dollar,70.83807357
November 1 1984,Swiss franc,135.8175751
November 1 1984,Indian rupee,125.483853
November 1 1984,Chinese renmimbi,
November 1 1984,South African rand,234.0184995
November 1 1984,Australian dollar,106.4049587
January 1 1985,US dollar,36.4159292
January 1 1985,Euro,193.5813275
January 1 1985,Japanese yen,80.04605594
January 1 1985,Pound sterling,140.2890696
January 1 1985,Canadian dollar,54.79711794
January 1 1985,Swiss franc,123.5261402
January 1 1985,Indian rupee,113.3917118
January 1 1985,Chinese renmimbi,
January 1 1985,South African rand,214.9023638
January 1 1985,Australian dollar,93.23347107
February 1 1985,US dollar,34.33628319
February 1 1985,Euro,191.8307805
February 1 1985,Japanese yen,81.3207027
February 1 1985,Pound sterling,143.902439
February 1 1985,Canadian dollar,53.4698521
February 1 1985,Swiss franc,129.1434928
February 1 1985,Indian rupee,115.360589
February 1 1985,Chinese renmimbi,1.36396267
February 1 1985,South African rand,211.9218911
February 1 1985,Australian dollar,94.21487603
March 1 1985,US dollar,27.12389381
March 1 1985,Euro,192.8519329
March 1 1985,Japanese yen,74.25037473
March 1 1985,Pound sterling,141.9150858
