Date,Currency,Change
February 17 2000,US dollar,4.994832931
February 17 2000,Euro,8.114725428
February 17 2000,Japanese yen,14.2179805
February 17 2000,Pound sterling,6.096196868
February 17 2000,Canadian dollar,5.72519084
February 17 2000,Swiss franc,7.993901111
February 17 2000,Indian rupee,5.294509046
February 17 2000,Chinese renmimbi,4.964214381
February 17 2000,South African rand,8.399482069
February 17 2000,Australian dollar,9.79990905
February 18 2000,US dollar,4.581467447
February 18 2000,Euro,7.764952781
February 18 2000,Japanese yen,14.22681113
February 18 2000,Pound sterling,6.319910515
February 18 2000,Canadian dollar,5.009541985
February 18 2000,Swiss franc,7.667174907
February 18 2000,Indian rupee,4.865181712
February 18 2000,Chinese renmimbi,4.54810253
February 18 2000,South African rand,8.033552891
February 18 2000,Australian dollar,9.68622101
February 21 2000,US dollar,5.16706855
February 21 2000,Euro,8.149702693
February 21 2000,Japanese yen,15.44204055
February 21 2000,Pound sterling,6.823266219
February 21 2000,Canadian dollar,5.868320611
February 21 2000,Swiss franc,8.037464605
February 21 2000,Indian rupee,5.42679256
February 21 2000,Chinese renmimbi,5.138981358
February 21 2000,South African rand,8.292518156
February 21 2000,Australian dollar,10.68667576
February 22 2000,US dollar,4.13365484
February 22 2000,Euro,5.001748863
February 22 2000,Japanese yen,13.58387393
February 22 2000,Pound sterling,4.697986577
February 22 2000,Canadian dollar,5.391221374
February 22 2000,Swiss franc,5.096928774
February 22 2000,Indian rupee,4.420804157
February 22 2000,Chinese renmimbi,4.10286285
February 22 2000,South African rand,7.448066205
February 22 2000,Australian dollar,9.731696226
February 23 2000,US dollar,4.030313469
February 23 2000,Euro,5.246589717
February 23 2000,Japanese yen,13.96155283
February 23 2000,Pound sterling,5.257270694
February 23 2000,Canadian dollar,5.438931298
February 23 2000,Swiss franc,5.576127205
February 23 2000,Indian rupee,4.302778746
February 23 2000,Chinese renmimbi,4.027962716
February 23 2000,South African rand,7.341102291
February 23 2000,Australian dollar,10.55025011
February 24 2000,US dollar,2.928005512
February 24 2000,Euro,4.896817069
February 24 2000,Japanese yen,12.66413069
February 24 2000,Pound sterling,4.362416107
February 24 2000,Canadian dollar,3.983778626
February 24 2000,Swiss franc,5.162274014
February 24 2000,Indian rupee,3.212825956
February 24 2000,Chinese renmimbi,2.908621838
February 24 2000,South African rand,6.361538028
February 24 2000,Australian dollar,10.32287403
February 25 2000,US dollar,1.274543576
February 25 2000,Euro,5.071703393
February 25 2000,Japanese yen,10.78796318
February 25 2000,Pound sterling,3.131991051
February 25 2000,Canadian dollar,1.836832061
February 25 2000,Swiss franc,5.292964496
February 25 2000,Indian rupee,1.581857356
February 25 2000,Chinese renmimbi,1.277463382
February 25 2000,South African rand,4.396779823
February 25 2000,Australian dollar,8.299226921
February 28 2000,US dollar,0.757836721
February 28 2000,Euro,5.806225953
February 28 2000,Japanese yen,8.275651258
February 28 2000,Pound sterling,2.908277405
February 28 2000,Canadian dollar,1.264312977
February 28 2000,Swiss franc,5.881071662
February 28 2000,Indian rupee,1.047970597
February 28 2000,Chinese renmimbi,0.761484687
February 28 2000,South African rand,4.847154197
February 28 2000,Australian dollar,8.572078217
February 29 2000,US dollar,1.171202205
February 29 2000,Euro,6.680657573
February 29 2000,Japanese yen,9.563903135
