Date,Day,Currency,Change
Jan 1 2003,1,Pound sterling,20.63758389
Jan 1 2003,1,Canadian dollar,30.84446565
Jan 1 2003,1,Swiss franc,4.574166848
Jan 1 2003,1,Indian rupee,31.87319793
Jan 1 2003,1,Chinese renmimbi,19.5822237
Jan 1 2003,1,South African rand,67.71941677
Jan 1 2003,1,Australian dollar,40.20009095
Apr 1 2003,1,US dollar,15.19118154
Apr 1 2003,1,Euro,7.275271074
Apr 1 2003,1,Japanese yen,34.32258941
Apr 1 2003,1,Pound sterling,18.84787472
Apr 1 2003,1,Canadian dollar,17.31870229
Apr 1 2003,1,Swiss franc,-1.372250054
Apr 1 2003,1,Indian rupee,25.66854662
Apr 1 2003,1,Chinese renmimbi,15.15895473
Apr 1 2003,1,South African rand,47.97613016
Apr 1 2003,1,Australian dollar,25.98908595
May 1 2003,1,US dollar,17.53358595
May 1 2003,1,Euro,5.981112277
May 1 2003,1,Japanese yen,37.13242536
May 1 2003,1,Pound sterling,18.45637584
May 1 2003,1,Canadian dollar,15.43416031
May 1 2003,1,Swiss franc,-0.370289697
May 1 2003,1,Indian rupee,27.9189506
May 1 2003,1,Chinese renmimbi,17.51830892
May 1 2003,1,South African rand,39.69487136
May 1 2003,1,Australian dollar,22.80582083
Jul 1 2003,1,US dollar,20.63382708
Jul 1 2003,1,Euro,5.631339629
Jul 1 2003,1,Japanese yen,41.79635227
Jul 1 2003,1,Pound sterling,17.84116331
Jul 1 2003,1,Canadian dollar,12.71469466
Jul 1 2003,1,Swiss franc,2.156392943
Jul 1 2003,1,Indian rupee,28.81008206
Jul 1 2003,1,Chinese renmimbi,20.61834221
Jul 1 2003,1,South African rand,46.69256319
Jul 1 2003,1,Australian dollar,17.57617099
Aug 1 2003,1,US dollar,21.3916638
Aug 1 2003,1,Euro,9.51381602
Aug 1 2003,1,Japanese yen,43.58828924
Aug 1 2003,1,Pound sterling,22.53914989
Aug 1 2003,1,Canadian dollar,17.22328244
Aug 1 2003,1,Swiss franc,4.726639076
Aug 1 2003,1,Indian rupee,28.83384557
Aug 1 2003,1,Chinese renmimbi,21.3590213
Aug 1 2003,1,South African rand,47.37375443
Aug 1 2003,1,Australian dollar,22.69213279
Sep 1 2003,1,US dollar,29.62452635
Sep 1 2003,1,Euro,19.93704092
Sep 1 2003,1,Japanese yen,48.88734164
Sep 1 2003,1,Pound sterling,33.89261745
Sep 1 2003,1,Canadian dollar,23.9980916
Sep 1 2003,1,Swiss franc,14.87693313
Sep 1 2003,1,Indian rupee,36.58866956
Sep 1 2003,1,Chinese renmimbi,29.5855526
Sep 1 2003,1,South African rand,55.76760682
Sep 1 2003,1,Australian dollar,32.51477945
Oct 1 2003,1,US dollar,32.10471926
Oct 1 2003,1,Euro,14.51556488
Oct 1 2003,1,Japanese yen,44.12356078
Oct 1 2003,1,Pound sterling,28.63534676
Oct 1 2003,1,Canadian dollar,23.16316794
Oct 1 2003,1,Swiss franc,9.82356785
Oct 1 2003,1,Indian rupee,38.37014036
Oct 1 2003,1,Chinese renmimbi,32.0822237
Oct 1 2003,1,South African rand,49.45673591
Oct 1 2003,1,Australian dollar,27.78535698
Dec 1 2003,1,US dollar,37.89183603
Dec 1 2003,1,Euro,17.03392795
Dec 1 2003,1,Japanese yen,48.88903984
Dec 1 2003,1,Pound sterling,30.03355705
Dec 1 2003,1,Canadian dollar,24.42748092
Dec 1 2003,1,Swiss franc,13.17795687
Dec 1 2003,1,Indian rupee,44.87341973
Dec 1 2003,1,Chinese renmimbi,37.85785619
Dec 1 2003,1,South African rand,43.81579688
Dec 1 2003,1,Australian dollar,25.26148249
Jan 1 2004,1,US dollar,43.40337582
Jan 1 2004,1,Euro,15.42497377
Jan 1 2004,1,Japanese yen,51.5113949
Jan 1 2004,1,Pound sterling,30.03355705
Jan 1 2004,1,Canadian dollar,28.31583969
Jan 1 2004,1,Swiss franc,12.13243302
Jan 1 2004,1,Indian rupee,50.43408004
Jan 1 2004,1,Chinese renmimbi,43.35885486
Jan 1 2004,1,South African rand,56.42064967
Jan 1 2004,1,Australian dollar,25.62528422
Mar 1 2004,1,US dollar,37.78849466
Mar 1 2004,1,Euro,12.416929
Mar 1 2004,1,Japanese yen,48.01480827
Mar 1 2004,1,Pound sterling,19.68680089
Mar 1 2004,1,Canadian dollar,27.74332061
Mar 1 2004,1,Swiss franc,10.45523851
Mar 1 2004,1,Indian rupee,43.21472704
Mar 1 2004,1,Chinese renmimbi,37.76215047
Mar 1 2004,1,South African rand,48.86561955
Mar 1 2004,1,Australian dollar,17.59890859
Apr 1 2004,1,US dollar,47.19255942
Apr 1 2004,1,Euro,20.84644981
Apr 1 2004,1,Japanese yen,50.45104099
Apr 1 2004,1,Pound sterling,28.63534676
Apr 1 2004,1,Canadian dollar,33.99332061
Apr 1 2004,1,Swiss franc,17.38183402
Apr 1 2004,1,Indian rupee,46.71033871
Apr 1 2004,1,Chinese renmimbi,47.14963382
Apr 1 2004,1,South African rand,52.01261048
Apr 1 2004,1,Australian dollar,26.64847658
Jun 1 2004,1,US dollar,36.8239752
Jun 1 2004,1,Euro,13.67611053
Jun 1 2004,1,Japanese yen,48.29399178
Jun 1 2004,1,Pound sterling,20.91722595
Jun 1 2004,1,Canadian dollar,29.72328244
Jun 1 2004,1,Swiss franc,8.320627314
Jun 1 2004,1,Indian rupee,42.87332467
Jun 1 2004,1,Chinese renmimbi,36.79677097
Jun 1 2004,1,South African rand,43.41608962
Jun 1 2004,1,Australian dollar,27.21691678
Jul 1 2004,1,US dollar,35.99724423
Jul 1 2004,1,Euro,13.57117873
Jul 1 2004,1,Japanese yen,45.05145535
Jul 1 2004,1,Pound sterling,21.6442953
Jul 1 2004,1,Canadian dollar,25.47709924
Jul 1 2004,1,Swiss franc,7.754301895
Jul 1 2004,1,Indian rupee,43.38582428
Jul 1 2004,1,Chinese renmimbi,35.97286951
Jul 1 2004,1,South African rand,38.19174689
Jul 1 2004,1,Australian dollar,27.5579809
Sep 1 2004,1,US dollar,40.44092318
Sep 1 2004,1,Euro,17.17383701
Sep 1 2004,1,Japanese yen,51.57932276
Sep 1 2004,1,Pound sterling,27.12527964
Sep 1 2004,1,Canadian dollar,27.14694656
Sep 1 2004,1,Swiss franc,12.17599651
Sep 1 2004,1,Indian rupee,49.52156142
Sep 1 2004,1,Chinese renmimbi,40.39613848
Sep 1 2004,1,South African rand,52.14772279
Sep 1 2004,1,Australian dollar,31.69622556
Oct 1 2004,1,US dollar,44.02342404
Oct 1 2004,1,Euro,17.9783141
Oct 1 2004,1,Japanese yen,56.79278606
Oct 1 2004,1,Pound sterling,30.20134228
